Kanda/Book,Sarga/Chapter,Shloka/Verse Number,English Translation
Bala Kanda,53,2,"Shabala bestowed dishes of sugar cane and honey, and flakes of all sorts, like cornflakes, rice-flakes, also best arracks and liquors in best wineglasses, further, the drinks and foodstuffs that are very diverse and verily apposite to royalties and army-men."
Bala Kanda,53,3,"There emerged mountainous stacks of steamy foodstuffs, palatable side-dishes and desserts of rice etc., also the dumplings of cooked pulses, like that the cascades of curds and the other milk products likes butter, ghee, cheese etc. Thousands of silver dishes and hollowware fully replete with daintily soft drinks, like that full with sugar-candy preparations, and with preparations that comprise all the six tastes have come up together with delectable foodstuffs made out of treacly dumplings of cane sugar. [1-53-3, 4]"
Bala Kanda,53,5,"""Oh, Rama, all of the men in the forces of Vishvamitra, who are already rejoiced and regaled by the regular feasts accorded by their king Vishvamitra, are now comparatively well gladdened when feasted by Sage Vashishta, in which they rejoiced and regaled, for a good measure."
Bala Kanda,53,6,"""Partaking that feast together with the best royal ladies of palace chambers, and with the court-scholars and the court-priests even the king Vishvamitra, who by his nature is a kingly sage, became exultant and energetic."
Bala Kanda,53,7,"""When honoured along with his advisers, ministers and attendants by way of receiving a royal banquet, king Vishvamitra then in high admiration spoke this to Vashishta."
Bala Kanda,53,8,""" 'You showed me a generous hospitality whereby I am esteemed by an estimable sage like you, oh, expert in sententiousness, now I wish to say for myself to which you may please listen."
Bala Kanda,53,8,""" 'Oh, godly sage, this Shabala may be given to me for a barter of a lakh, a hundred thousand, cows. Indeed this do-all cow is a treasure, and the kings are the gatherers of treasures. Therefore bestow this cow to me. As rule this cow also belongs to me.' Thus Vishvamitra said to Vashishta. [1-53-9, 10a]"
Bala Kanda,53,9,"""When Vishvamitra addressed him in that way, the reverential sage Vashishta, who is a virtue-souled eminent saint, on his part replied the king in this way. [1-53-10b, 11a]"
Bala Kanda,53,10,""" 'I cannot afford Shabala, neither by the barter of a hundred thousand cows, nor by hundreds of millions of cows, nor by lots and lots of silver, either. [1-53-11b, 12a]"
Bala Kanda,53,11,""" 'Abandoning her from my proximity is unmeet for her, oh, enemy-subjugator, you cannot even subjugate me terroristically and try to wean this cow away from me, as Shabala is everlastingly and inseparably mine, as with the everlasting and inseparable respectability of a self-respectful person. [1-53-12b, 13a]"
Bala Kanda,53,12,"""This cow makes the journey of my life possible. Oblations to gods or manes, enkindling of Ritual-fire, religious sacrifices, homa-s, the sacred rituals conducted as darsha, paurNa maasi, all are dependent on her. [1-53-13b, 14a]"
Bala Kanda,53,13,"""This cow is the bedrock for everything in its entirety, and regarding diverse and numerous indoctrinations, and even for add-on syllabics like svaaha, vaSaT, they are all dependent on this cow, there is no doubt about it. [1-53-14b 15a]"
Bala Kanda,53,14,""" ""In truth, this cow is everything to me and ever-gratifier, that way by so many reasons, oh, king, I cannot afford Shabala to you or to anyone."" So said Vashishta to Vishvamitra. [1-53-15b, 16a]"
Bala Kanda,53,15,"Though Vashishta spoke thus Vishvamitra being an expert in sententiousness then spoke this sentence compellingly and argumentatively. [1-53-16b, 17a]"
Bala Kanda,53,16,""" 'I bestow upon you fourteen thousand elephants adorned with golden girdles, golden necklets and golden goads. [1-53-17b, 18a]"
Bala Kanda,53,17,""" 'I will grant you eight hundred golden chariots whichever can be yoked on with four whitely-white horses trimmed up with the sets of tintinnabulating bells. [1-53-18b, 19a]"
Bala Kanda,53,18,""" 'I grant you, oh, superbly vowed sage, eleven thousand fleetly galloping horses of high pedigree born in best countries of best horse breeding. [1-53-19b, c]"
Bala Kanda,53,20,""" 'I award ten million diversely coloured and differently divisionalized cows, whichever of them will be came of age as milker, thereby, let this do-all cow Shabala be given to me."
Bala Kanda,53,21,""" 'Or, oh, eminent Brahman, if you yearn either for gems or gold, I gift that much of everything as much as you can yearn, let Shabala be given to me."" Thus Vishvamitra entreated again."
Bala Kanda,53,22,"When the shrewd king Vishvamitra spoke to the reverential sage Vashishta, that sage has clearly said, 'whatever it is oh, king, I do not surrender Shabala, the cow.'"
Bala Kanda,53,23,""" 'Really this alone is my gemmy cow, thus I do not require your jewels or gems... truly, this alone is my treasure, thus I do not require your gilded chariots, horses or elephants... really, this alone is my everything, thus I need nothing from you... and actually, this alone is my alter-ego, thus you cannot separate me from myself."
Bala Kanda,53,24,""" 'This alone is my darsha, puurNa maasa rituals, and like that this alone is all my Vedic-rituals with worthwhile donations and oh, king, this essentially is of service in diverse activities of mine."
Bala Kanda,53,25,""" 'Oh, king, all of my activities are instated in this cow, then wherefore a lot of palavering a bargain or barter? I do not give away this milker any wish."" So said VashishtaT to Vishvamitra, and thus Sage Shataananda continued his narration of the legend of Sacred Cow."
Bala Kanda,54,1,"""When Sage Vashishta did not yield Kaamadhenu, the milker of any desire, oh, Rama, then Vishvamitra started to seize it."" Sage Shataananda continued the narration of the legend of Vishvamitra."
Bala Kanda,54,2,"""While the determined king Vishvamitra dragged her away from Vashishta, oh, Rama, Shabala is saddened and tearfully mulled over stung by the anguish of her secession from the sage."
Bala Kanda,54,3,""" 'A pitiable and highly anguished one, such as I am. I am being dragged away by the servants of the king. Has this great souled Sage Vashishta abandoned me, or what?"
Bala Kanda,54,4,""" 'Or, did I do any misdeed towards that great sage of sacred soul whereby he is leaving me off. I have always been reverent and a cherished cow to that pietist and am I no errant.' That cow eulogised in this manner."
Bala Kanda,54,5,"""On thinking thus and suspiring repeatedly, oh, enemy-subjugator, Rama, then she that Sacred Cow hastily rushed with the speed a gust and went to that highly energetic Vashishta on utterly shoving off hundreds of attendants of the king who are roping her, and then she straight went to the base of the feet of the great-souled Vashishta. [1-54-5, 6]"
Bala Kanda,54,7,"""She that moaning and groaning Shabala staying before the Sage Vashishta spoke this bellowing like a thunderous cloud."
Bala Kanda,54,8,""" 'Oh, Son of Brahma, why I am discarded by you, whereby oh, god, the king's attendants are weaning me away from your proximity.' So Shabala urged Vashishta."
Bala Kanda,54,9,"""When he is spoken thus, then that Brahma-sage spoke this sentence to worrisome Shabala, whose heart is worrying with worry, as he would speak with his own sister in her worriment."
Bala Kanda,54,10,""" 'Neither I forswear you nor you fouled me, oh, Shabala, this king is forcibly weaning you away from me as he is beside himself with kingly arrogance."
Bala Kanda,54,11,""" 'My ability is not balanceable with his, isn't it. Above all, on his part he is a king now, and a king will be mighty, he is the lord of the land and a Kshatriya, and thus we have to be subservient to a Kshatriya, isn't it."
Bala Kanda,54,12,""" 'This akshauhini unit of army is plethoric, overcrowded with elephants, horses, and chariots, and overspread with flags and elephants, thereby he is mightier than me.' Thus Vashishta tried to pacify that Sacred-Cow."
Bala Kanda,54,13,"""She who is spoken that way by Vashishta, that sententious Sacred Cow, Shabala, in her turn obediently spoke this sentence to that Brahma-sage of un-balanceable resplendence."
Bala Kanda,54,14,""" 'Oh, Brahman, unstated is that the might of sovereignty as mightier than the might of sagacity. A sage is mightier than a sovereign. A sage's might is mightiest than the mightier sovereign, for a sage's might is angelic.' So Shabala started talking to the sage."
Bala Kanda,54,15,""" 'Immutable is your power as you are mightier than great-mighty Vishvamitra and invincible is your dynamism."
Bala Kanda,54,16,""" 'Ordain me, oh, highly resplendent sage, who am replete with the power of your sagacity, and I will disprove the vanity, valour, and venture of that injudicious king for this injudicious seizure.' Thus Shabala implored the sage Vashishta."
Bala Kanda,54,17,"""Oh, Rama, when spoken by her thus, that highly glorious Vashishta said to Shabala, the do-all cow, 'create a power that can overpower the power of opponent.' Vashishta said so to Shabala."
Bala Kanda,54,17,"""On hearing his sentence, oh, Rama, that Sacred Cow Shabala then created Pahlava kings, sprang forth from her mooing 'hums', and hundreds of them annihilated the army of Vishvamitra in its entirety just while Vishvamitra is witnessing it. [1-54-18, 19a]"
Bala Kanda,54,18,"""King Vishvamitra was utterly infuriated and with wide-eyed anger he started to destroy those Pahlava-s with many a kind of his weaponry. [1-54-19b, 20a]"
Bala Kanda,54,19,"""On seeing the subdual of hundreds of Pahlava-s by Vishvamitra, then the Sacred Cow again generated deadly Shaka-s hobnobbed with Yavana-s through her mooing 'hums'. [1-54-20b, 21a]"
Bala Kanda,54,20,"""Then the earth was pervaded with the Shaka-s associated with Yavana-s, who have effectuation and bravery in overcoming their enemy forces, and who are golden in bodily colour similar to the golden pistils of flowers which complexion is outlandish. [1-54- 21b, 22a]"
Bala Kanda,54,21,"""Yavana-s and Shaka-s, who are wielding bowie knives and broad lances and who are clad in golden coloured dresses, and who looked like glowing fires have completely burnt down entire force of Vishvamitra. [1-54-22, 23a]"
Bala Kanda,54,22,"""Then that great-resplendent Vishvamitra indeed released his missiles, by which Yavana-s, Kaambhoja-s, and the Barbara-s, are rendered helter-skelter."" Thus Sage Shataananda continued his narration of Vishvamitra. [1-54-23b,c.]"
Bala Kanda,55,1,"""Then on seeing the flurrying warriors earlier created by the Sacred Cow, Shabala, who are perplexed by the missiles of Vishvamitra, Vashishta started to motivate her, 'oh, wish-milker, generate more forces by your yogic capacity.' Thus Sage Shataananda continued his narration about the legend of Vishvamitra to Rama."
Bala Kanda,55,2,"""From the 'hums' of her mooing Kaamboja-s similar to sunshine are born, from her udder Pahlava-s wielding weaponry are born, from the area of her privates Yavana-s, likewise from her rectal area Shaka-s, and from her hair-roots Mleccha-s, Haariitaa-s along with Kirataka-s are issued forth. [1-55-2, 3]"
Bala Kanda,55,4,"""At that very moment, oh, Rama the legatee of Raghu, Vishvamitra's army comprising foot-soldiers, elephants, chariots and horses is utterly slaughtered by the Yavana, Mleccha etc., forces generated by the Sacred Cow."
Bala Kanda,55,4,"""On seeing their army utterly slaughtered by the vital spirit of Vashishta, a band of hundred sons of Vishvamitra wielding divers weapons exasperatedly sprinted forth towards that supreme meditator among all meditators. But that great sage Vashishta completely burnt all of them down just by blasting 'hum' sounds. [1-55-5, 6]"
Bala Kanda,55,7,"""That sage with vital spirit, Vashishta, then in a wink rendered those sons of Vishvamitra, along with their horses, chariots, and foot-soldiers to ashes."
Bala Kanda,55,8,"""On seeing his sons and his forces are utterly ruined, that very highly glorious Vishvamitra was disgraced and beset by distress."
Bala Kanda,55,7,"""Like a tideless ocean his warfare did not tide him over, like a fangless serpent his hiss of warring could not fang any, like a wingless bird pitiable is his flightless plight of fightback, like a shineless sun in an eclipse, Vishvamitra plunged into a lustreless state of his own illustriousness, when his forces are ruined along with his sons. [1-55-9, 10a]"
Bala Kanda,55,8,"""When all his intrepidity and impetuosity are ruined an indolence bechanced upon him, and then on bidding one son for the kingdom, 'you rule the earth with the duties of kingcraft...' thus saying Vishvamitra took recourse to forests. [1-55-10b, 11]"
Bala Kanda,55,12,"""On going to the mountainsides of Himalayas, whereat it is adored by kinnaraa-s and uragaa-s, the nymphs and nymphean serpents, he that great practiser of ascesis, Vishvamitra, undertook an austere ascesis for the sake of beneficence of the Great God, Shiva."
Bala Kanda,55,13,"""After a long lost time, Shiva, the God of Gods whose flag bears the sign of Holy Bull, has shown himself to that great-saint Vishvamitra, for He is a ready boon-giver."
Bala Kanda,55,14,""" 'Oh, king, for which purpose you undertook this ascesis that you may tell me. What is it really intended by you and what boon you seek that be made known to me for I am the boon-giver.' Shiva said so to Vishvamitra."
Bala Kanda,55,15,"""Thus said by God Shiva to Vishvamitra of great ascesis, Vishvamitra on reverencing that Great God Shiva said this way."
Bala Kanda,55,16,""" 'Oh! Mahadeva, the Impeccable Great God... providing that you are gladdened by my ascetic devotion, dhanur veda, the Holy Writ of Archery, with its complemental and supplemental Writs, and along with its summational Upanishad-s, together with its preternatural doctrines... they may kindly be bestowed upon me..."
Bala Kanda,55,14,""" Oh, Exquisite God, whichever missile is there either with gods, or fiends, gandharva-s, yaksha-s, and demons, let it dawn upon me. For you alone are the God of Gods your blessings alone can fulfil my aspiration.' Thus Vishvamitra entreated God Shiva. [1-55-17, 18a]"
Bala Kanda,55,15,""" 'So be it!' On sanctifying Vishvamitra and his aspiration thus, the God of Gods, Shiva disappeared. [1-55-18b]"
Bala Kanda,55,19,"""Vishvamitra who is already a mightier Kshatriya, now on acquiring missiles from the God of Gods, Shiva, will he not come forth paired up with mightiest conceit, and then will not his conceitedness be plethoric like a plethoric ocean?"
Bala Kanda,55,20,"""By vitality Vishvamitra is like an ocean with rough riptide on a Full Moon day, and oh, Rama, he deemed that sagaciously mighty sage Vashishta is now 'dead.'"
Bala Kanda,55,21,"Then on going to the threshold of Vashishta 's hermitage that king propelled his missiles, by the holocaust of which missiles that ascetic woodland is completely burnt down in its entirety."
Bala Kanda,55,22,"""On seeing the turbo-jetting missiles of Vishvamitra jetted by his sparkling intellect, hundreds of saints were frightened and they very speedily fled in hundreds of ways."
Bala Kanda,55,23,"""Whoever is the disciple of Vashishta and whichever is either animal or a bird, all are utterly frightened and thousands of them have hastily fled to numerous directions."
Bala Kanda,55,24,"""The threshold of that broad-minded Vashishta's hermitage fell void, and in a wink it has become silent like a burial ground as every shrub, herb and tree is cindery, and every bird, animal and stock is an evacuee."
Bala Kanda,55,25,"""Although Vashishta shouted at them saying time and again, 'do not fear, do not fear... now I will dissipate that son of Gaadhi, Vishvamitra, like Sun demisting the mist,' all the inmates of hermitage have hastily fled."
Bala Kanda,55,26,"""On saying that way to the evacuees, Vashishta, the great-resplendent sage and a best one among best meditators rancorously said this word to Vishvamitra."
Bala Kanda,55,27,""" 'You senseless king, by which reason you have havocked this hermitage that is well nourished for a long time by me, for that reason you have become a reprehensible one, and thereby you will not survive any longer."
Bala Kanda,55,28,"""On saying thus that extremely infuriated Sage Vashishta post-hastily up-heaved his baton, which is alike the fumeless Ultimate Fire of End Time, and the other baton of Yama, the Terminator, and affronted Vishvamitra."" Thus, Sage Shataananda continued his narration of Vishvamitra's legend."
Bala Kanda,56,1,"""When Vashishta spoke in this way, the great-mighty Vishvamitra brandishing Fiery-missile challenged Vashishta saying, 'withstand this, withstand this..."" Thus, sage Shataananda continued his narration of Vishvamitra's legend."
Bala Kanda,56,2,"""That reverential sage Vashishta then upraising his Brahma-baton, which is like the other baton of the Terminator, spoke this sentence furiously."
Bala Kanda,56,3,""" 'I am staying here only, you meritless Kshatriya, you may clearly display whatever prowess you have, oh, Gaadhi's son Vishvamitra, I will now ruin whatever vanity you or your missiles have."
Bala Kanda,56,4,""" 'Where stands the force of belligerence when compared to the supreme force of sagacity, you abased Kshatriya, watch out for my strength of seraphic sagacity."" So said Vashishta to Vishvamitra."
Bala Kanda,56,5,"""With his baton of Brahma Vashishta silenced that matchless and deadly Fiery-missile of Gaadhi's son, namely Vishvamitra, as a deluge of water silencing a rage of fire."
Bala Kanda,56,6,"Vishvamitra, the son of Gaadhi then rancorously fusilladed the missiles regulated by gods like Varuna, Rudra, Indra, Paashupata, and even a missile which is projectile through grass blade called Ishiika."
Bala Kanda,56,7,"""Vishvamitra also launched missiles named Humane, Rager, Stupefier, Hypnotiser, Yawner, Intoxicator, also thus Humidifier, Weep-inducer."
Bala Kanda,56,8,"""He also launched the missiles called Drainer and Ripper, and the highly unconquerable Thunderbolt, even the lassos of Brahma, Time and Rain-gods."
Bala Kanda,56,9,"""Also missiles called Shiva, Monster, Punisher, Wrester and like that the Baffler, Bolter, Drier, Drencher are launched."
Bala Kanda,56,10,"""And he launched discs called the Discs of Virtue, Time and Vishnu and he also launched other missiles like the Blower, Stirrer and like that the missile with Horse-head."
Bala Kanda,56,11,"""A pair of powers are launched, namely Power of Vishnu and the Power of Rudra, like that the Impeller, Crowbar, and a great missile called Staggerer, and then he launched the lethal missile of the Time."
Bala Kanda,56,12,"""Oh, Rama, the descendent of Raghu, Vishvamitra on triggering off all these missiles then he launched the deadly Trident, Skull and Torque missiles on Vashishta, and whole thing has became a spectacular display of Vishvamitra's arsenal. [1-56-12, 13a]"
Bala Kanda,56,13,"""Brahma's son Vashishta defused all of those missiles just with his baton and when all of them are thus silenced, Gaadhi's son Vishvamitra touched off Brahma's missile. [1-56-13b, 14a]"
Bala Kanda,56,14,"""When Vishvamitra brandished and set up Brahma missile for launching, seeing it all the gods keeping the Fire-god at their vanguard, godly sages, reptiles along with gandharva-s are perplexed, and the triad of worlds itself is perturbed. [1-56-14b, 15]"
Bala Kanda,56,16,"""Even that deleteriously destructive Brahma's missile is completely consumed with the seraphic resplendence of Brahma-baton of Sage Vashishta."
Bala Kanda,56,17,"""The appearance of that great-souled Vashishta became appallingly perplexing when he is finishing off that Brahma missile as if to surely petrify the Tri-world."
Bala Kanda,56,18,"""From all of the pits of hair of that great-souled Vashishta ramified are the raditional beams and those radiated shafts are rolling up with the fumes of radiation, so to speak."
Bala Kanda,56,19,"""The baton of Brahma gripped in his hand and upraised by Vashishta is highly glowing as if it is the fumeless inferno of Time, and as if it is the earthly baton of Yama, the Terminator."
Bala Kanda,56,19,"""The assemblages of saints then extolled the best meditator Vashishta saying, 'oh, Brahman, infallible is your prowess, but bear this combustion of missile by your own combustive power. Though Vishvamitra is a supreme ascetic he is forestalled by you and your seraphic power, but this power of yours is equally anguishing all the worlds. Hence, let the worlds survive shooing away their anguish caused by your prowess. Oh, Brahman, be gracious, for you are the best among the best meditators...' So said saints to Vashishta. [1-56-20, 21]"
Bala Kanda,56,22,"""When that great-resplendent Vashishta is spoken thus by saints and gods he composed himself, and then that estranged Vishvamitra spoke this to himself with heavy suspiration."
Bala Kanda,56,23,""" 'Fie upon the might of Kshatriya, mightier is the might of Brahman's resplendence, only with one baton of Brahma all of my missiles are defused."
Bala Kanda,56,24,""" 'Therefore on analysing this matter, I with my heart and senses quietened will embark on a sublime ascesis which really will be the causative factor for according Brahma-Sage-hood.' So thought Vishvamitra..."" Thus Sage Shataananda continued his narration of Vishvamitra's legend."
Bala Kanda,57,1,"""Oh, Raghava, on making that great-souled Vashishta an enemy, whenever Vishvamitra reminisced over his subdual by Vashishta, he is seethed at heart and heaved sighs repeatedly. Then on going to southern quarter with his prime queen, that great-ascetic Vishvamitra self-collectedly conducted a highly astounding ascesis subsisting only on fruits and tubers."" Thus Sage Shataananda continued his narration of Vishvamitra's legend. [1-57-1, 2, 3a]"
Bala Kanda,57,3,"""Then Vishvamitra begot sons named Havispanda, Madhuspnada, Dhridhanetra and Mahaaratha, who conduct themselves in candour and chivalry."
Bala Kanda,57,3,"""At the close of one thousand years of ascesis Brahma, the Grandparent of all worlds, revealed Himself to Vishvamitra and spoke these words mellowly to ascetically wealthy Vishvamitra, 'oh, son of Kushika, Vishvamitra, you have won the worlds of kingly-sages by your ascesis. [1-57-4b, 5]"
Bala Kanda,57,4,""" 'We indeed acquiesce you as a kingly-sage by your ascesis.' saying so that great resplendent Brahma, the Supreme Ruler of the Worlds, went away to his Abode of Brahma, while the gods in Brahma's convoy went to Indra's Heaven. [1-57-6, 7a]"
Bala Kanda,57,5,"""On hearing that Vishvamitra is down-faced with disgrace, and while high anguish prevailed over him, he rancorously soliloquised this. [1-57-7b, 8a]"
Bala Kanda,57,6,""" 'Even though I have practised a very high ascesis, the gods together with the observances of hermits are recognising me just as a 'kingly-sage.' Thereby I deem that there is no fruition to my ascesis.' Thus Vishvamitra thought. [8b, 9a]"
Bala Kanda,57,9,"""Oh, Rama of Kakutstha, deciding in this way in his heart of hearts that self-willed Vishvamitra again undertook a supreme ascesis as he is a great-ascetic."
Bala Kanda,57,8,"""In this meantime there is a veracious king named Trishanku, an enhancer of Ikshvaku dynasty, and one renowned for his self-conquest. [1-57-10b, 11a]"
Bala Kanda,57,9,"""Oh, Raghava, an idea sprang up in the mind of Trishanku to perform a ritual by which he will go to heaven with his own body. Then he sincerely invited Vashishta and told him what his thinking is. [1-57-11b, 12]"
Bala Kanda,57,10,"""But the great-souled Vashishta said it as impossible. Thus repudiated Trishanku went to southerly direction in search of orchestrators for the purpose of realising that task, such a phantasmal ritual that enables him to go to heaven with his body, and that king hjas gone to the sons of Vashishta. [1-57-13, 14a]"
Bala Kanda,57,11,"""Trishanku has indeed gone to the place where the sons of Vashishta are protractedly expiating, and there he visited the hundred noble-souled sons of Vashishta, who are supremely self-luminescent and superbly self-refulgent by their ascesis. [1-57-14b, 15]"
Bala Kanda,57,16,"""On reaching nigh of those noble-souled sons of the indoctrinator, namely Vashishta, Trishanku reverenced all of them sequentially according to their age, but with a little down- faced owing to abashment, and spoke to all of those great-souled ones making palm-fold in supplication."
Bala Kanda,57,13,""" 'I have come as a shelter-seeker seeking the shelter of yours as you are the shelterers of the needy, you all be safe, as the great-souled Vashishta has repudiated me. [1-57-17b, 18a]"
Bala Kanda,57,14,""" 'I am longing to perform an unusual ritual and it will be apt of you to give assent to it. Reverencing all of the sons of my mentor Vashishta I am proposing this to you. [1-57-18b, 19]"
Bala Kanda,57,15,""" 'With reverence I truckle before you all Brahmans who are abiding in ascesis. Such as you are I beg you to assiduously get a ritual performed through me, as to how I can get to heaven with my body. [1-57-19b, 20]"
Bala Kanda,57,21,""" 'Oh, ascetically wealthy Brahmans, as I am repudiated by Vashishta, I do not perceive another recourse excepting you, who are all the sons of mentor Vashishta."
Bala Kanda,57,22,""" 'The Priest is the ultimate recourse for all of the kings in Ikshvaku dynasty, isn't it. Therefore, next to Vashishta you are all the next-best gods to me.' Thus Trishanku entreated the hundred sons of Sage Vashishta."" Sage Shataananda thus continued narration."
Bala Kanda,58,1,"""On hearing the sentence of Trishanku, oh, Rama, the hundred sons of sage Vashishta infuriately said this to that king."" Thus, sage Shataananda continued his narration to Rama and others."
Bala Kanda,58,2,""" 'You slow-witted king, your veracious mentor has denounced you. But transgressing him how do you approach another branch of the same tree of wisdom, when that very tree rejected you?' So the sons of Vashishta have started to denounce Trishanku."
Bala Kanda,58,3,""" 'The Royal Priest is the ultimate course for all of Ikshvaku-s, isn't it. It is impossible to transgress the word of advise of such a veracious Priest."
Bala Kanda,58,4,""" 'Vashishta is the most reverential sage and such a sage has already said it is impossible to conduct such a Vedic-ritual. Then, in which way we are capable to conduct such a Vedic-ritual?"
Bala Kanda,58,5,""" 'Oh king of subjects, better get back to your own city again for you are childish. That godlike Vashishta alone is capable to orchestrate any ritual by any king in all the three worlds. Oh, king, how then we are capable to cause a disrepute to his reputation.' Thus, the sons of Vashishta refuted Trishanku. [1-58-5, 6a]"
Bala Kanda,58,6,"""On hearing that sentence of theirs which is highly faltering with words of fury that king further spoke this sentence to all of them."" So Shataananda continued. [1-58-6b, 7a]"
Bala Kanda,58,7,""" 'I am indeed rejected by the godlike Vashishta, likewise even by you, the sons of the same mentor, as such oh, ascetically wealthy scholars, in this state obloquy I will resort to another recourse, let safety betide you.' So Trishanku bade farewell to the sons of Vashishta, but... [1-58-7b, 8a]"
Bala Kanda,58,8,"""But the sons of the sage Vashishta, on hearing that sentence of the king, that is inclusive of and leading to a calamitous situation, have become very highly infuriated and cursed saying, 'you shall get into a state of basely profaner.' That is the curse issued by the sons of Vashishta to Trishanku. [1-58-8b, 9a]"
Bala Kanda,58,9,"""On saying thus those great-souled sons of Vashishta withdrew to one's own hermitage and when that night elapsed into day then the king lapsed into a state of basely profaner. [1-58-9b, 10a]"
Bala Kanda,58,10,"""He is now wearing blackish cloths which on yestereve were ochry silks, he is now a blackamoor who on yestereve was a gilt-royalty, his head-hair is shaggy which earlier was silkily soft, and his royal garlands which were richly fragrant are now funeral wreaths, and he is besmeared with crematory ashes which were regal emollients, and his royal jewellery is now rendered into iron adornments. [1-58-10b, 11a]"
Bala Kanda,58,11,"""On seeing him in the mien of a profaner, oh, Rama, all of his ministers and the subjects and his own retinue have deserted him and took to flight in masses. [1-58-11b, 12a]"
Bala Kanda,58,12,"""Though that resolutely self-assured king seethed for one night and day for this mishap, then went to the ascetically prosperous Vishvamitra. [1-58-12b, 13a]"
Bala Kanda,58,13,"But on seeing at that mien of the king which is rendered to that of a precluded profaner from kingship and for officiating rituals etc., oh, Rama, sage Vishvamitra because sympathetic. [1-58-13b, 14a]"
Bala Kanda,58,14,"""The great-resplendent sage and highly generous Vishvamitra firstly said to that king who is in a terrible aspect 'let safety betide you,' and then spoke on this sentence to him. [1-58-14b, 15a]"
Bala Kanda,58,15,""" 'What is the purpose of your visit, oh, great-mighty prince Trishanku, oh, brave lord of Ayodhya, you are accurst to the state of profaner.' [1-58-15, 16a]"
Bala Kanda,58,16,"""Then that king who is accurst to a state of profaner on listening that sentence, as a diligent sentence maker spoke this sentence with his palms adjoined to the sententious sage Vishvamitra. [1-58-16b, 17a]"
Bala Kanda,58,17,""" 'I am spurned off by my mentor Vashishta and also like that by his sons. My aspiration remained unachievable, besides, this discrepancy has bechanced upon me. [1-58-17b, 18a]"
Bala Kanda,58,18,""" 'Oh, gentle Vishvamitra, my aspiration is nothing but to go to heaven with my body. I have performed hundred rituals but I have not achieved the fruit.' Thus Trishanku started tell his sad tale."
Bala Kanda,58,19,""" 'And now if you doubt me to be a liar, I am no liar either. I spoke no lie heretofore, and even if I were to land into any predicament I do not speak lies anytime hereinafter. Oh, gentle sage, this I pledge you upon my virtue of Kshatriya-hood. [1-58-19, 20a]"
Bala Kanda,58,20,""" 'I have propitiated gods with many kinds of Vedic-rituals. I have reigned over people conscientiously. And with my conduct and comport the high-souled savants are also pleased. [1-58-20b, 21a]"
Bala Kanda,58,21,""" 'While I am a pursuant in probity I expect to avail myself of the fruition of this kind of Vedic-ritual. Oh, eminent sage Vishvamitra, but my mentors are not deriving complete contentment by my pursuit. Hence, they shove me off. [1-58-21b, 22a]"
Bala Kanda,58,22,""" 'I deem destiny is the only ultimate, and manly efforts are meaningless, for destiny surmounts everything. Destiny is the ultimate course, isn't it? [1-58-22b, 23a]"
Bala Kanda,58,23,""" 'A highly anguished endeavourer, marred by destiny, a sincere requester, such as I am, it will be apt of you to accord, you be safe, your favour upon me. [1-58-23b, c]"
Bala Kanda,58,24,""" 'In no alternate course I wish to course through and no alternative shelter is there for me. Hence, it will be apt of you, a god in man's mien, to countervail my destiny.' Thus Trishanku prayed for the grace of Vishvamitra..."" So said Sage Shataananda to Rama and others continuing the legend of Vishvamitra."
Bala Kanda,59,1,"""Vishvamitra, the son of Kushi, piteously spoke this mellowly sentence to king Trishanku who spoke thus, and who in reality attained a state of profaner."" Thus Sage Shataananda continued his narration."
Bala Kanda,59,2,""" 'Oh, Trishanku, the legatee of Ikshvaku-s, you are welcome. I am aware that you are a highly righteous king. Oh, the best king, you need not be dismayed, for I accord you haven."
Bala Kanda,59,3,""" 'I will invite all the sages with pious activities who will render assistance in the ritual, oh, king, then you can perform the ritual self-composedly."
Bala Kanda,59,4,""" 'You can go to heaven with this body of yours, as well as with the form which is deformed by the curse of mentor Vashishta through his sons."
Bala Kanda,59,5,""" 'I deem that heaven is handy to you, oh, king of subjects, as you have approached the all-sheltering Vishvamitra and sought shelter.' Thus Vishvamitra solaced Trishanku."
Bala Kanda,59,6,"""On saying thus to Trishanku that great-resplendent Vishvamitra ordered his highly righteous and astutely brilliant sons to organise the arrangements for the ritual."
Bala Kanda,59,7,"""Vishvamitra calling forth all of his disciples said this sentence, 'invite all the eminent sages who are well-read in many Veda-s, along with their disciples and friends, and their ritwiks, the conductors of rituals, and even the sons of Vashishta, at my order. [1-59-7, 8a]"
Bala Kanda,59,8,""" 'If someone speaks inconsiderately incited by the forcefulness of my word, whoever speaks it, whichever word it may be, all that is to be reported to me, whatever it is.' Thus Vishvamitra ordered his disciples."
Bala Kanda,59,9,"""On listening that word of Vishvamitra his disciples went to all directions inviting all by his order, and then the Vedic scholars started to arrive from all provinces. [1-59-9 b, 10a]"
Bala Kanda,59,10,"""All of the disciples have returned to the fulgently resplendent sage Vishvamitra, and reported the words spoken by all the Vedic scholars. [1-59-10b, 11a]"
Bala Kanda,59,11,""" 'On listening your word all the Brahmans from all provinces have started to come and some have already come, leaving alone Mahodaya, the son of Vashishta.' Thus, the disciples have started to inform Vishvamitra. [1-59-11b, 12a]"
Bala Kanda,59,12,""" 'What all said by those hundred sons of Vashishta is explosively worded in their fury, oh, eminent sage, and what all they have said that you may please listen. [1-59-12b, 13a]"
